Wed Sep 18 14:53:38 2013    larvalMultitrack.profile

         304003 function calls in 58.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.001    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:327(__init__)
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetBrush}
        3    0.000    0.000    0.002    0.001 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:379(__init__)
       24    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3873(Connect)
        2    0.000    0.000    0.009    0.004 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:353(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Destroy}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2420(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:439(SetImg_Globals)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Close}
        1    0.000    0.000   58.894   58.894 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8008(MainLoop)
        2    0.000    0.000    0.009    0.004 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:581(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.new_PyApp}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1294(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.new_MenuBar}
       11    0.000    0.000    0.000    0.000 {wx._core_.Sizer__setOORInfo}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4015(__call__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8453(Close)
        1    0.000    0.000    0.002    0.002 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1729(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7171(__init__)
        1    0.000    0.000    0.000    0.000 {wx._misc_.StandardPaths_SetInstallPrefix}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11051(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8464(Destroy)
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:499(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:416(__init__)
        2    0.000    0.000    0.000    0.000 {wx._misc_.new_Timer}
        1    0.000    0.000    0.000    0.000 {wx._core_.new_Menu}
        1    0.000    0.000   58.894   58.894 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7299(MainLoop)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4593(IsChecked)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13271(<lambda>)
        1    0.000    0.000    0.011    0.011 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:329(<lambda>)
        2    0.000    0.000    0.000    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:11(write)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:62(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1844(WriteText)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_SetSizer}
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6360(GetPen)
        7    0.000    0.000    0.000    0.000 {wx._controls_.CheckBox_swiginit}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8023(RestoreStdio)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9763(Refresh)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2510(GetFilename)
        1    0.000    0.000    0.018    0.018 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9133(Show)
        1    0.000    0.000    2.595    2.595 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:709(ShowModal)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12904(AddSpacer)
       37    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12326(<lambda>)
        7    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetColour}
        5    0.000    0.000    0.000    0.000 {wx._controls_.Slider_swiginit}
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12686(_setOORInfo)
        6    0.000    0.000    0.000    0.000 {wx._controls_.StaticText_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_GetFilename}
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6345(GetBrush)
        4    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_instance}
        4    0.000    0.000    0.000    0.000 {wx._controls_.Button_swiginit}
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12685(<lambda>)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6340(instance)
