Tue Aug 27 17:31:03 2013    larvalMultitrack.profile

         1487386 function calls (1487370 primitive calls) in 108.905 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7171(__init__)
    43461    0.084    0.000    0.084    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:62(__init__)
        9    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\numeric.py:252(asarray)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6345(GetBrush)
        1    1.943    1.943    1.943    1.943 {wx._windows_.Dialog_ShowModal}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6340(instance)
        8    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1844(WriteText)
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'unicode' objects}
        9    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:567(update_matrix_tag)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:10536(SetAutoLayout)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6355(GetCursor)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11056(Append)
        1    0.000    0.000    1.322    1.322 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:804(put_variables)
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetPen}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11492(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11051(__init__)
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9165(Disable)
        2    0.000    0.000    1.322    0.661 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:574(write_top)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1294(__init__)
     6250    4.978    0.001    4.978    0.001 {cv2.medianBlur}
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheBrushList}
     6250    1.600    0.000    1.600    0.000 {cv2.dilate}
   244398    0.219    0.000    0.219    0.000 {isinstance}
       11    0.000    0.000    0.000    0.000 {wx._core_.Sizer__setOORInfo}
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:1393(<lambda>)
        2    0.000    0.000    0.010    0.005 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:351(__init__)
    45077    0.111    0.000    0.111    0.000 {cv2.contourArea}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6334(<lambda>)
        1    0.006    0.006    1.713    1.713 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:202(stopTracking)
    12500    0.022    0.000    0.057    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:360(GetValue)
      192    0.133    0.001    0.135    0.001 {wx._core_.Window_SetLabel}
        3    0.000    0.000    0.000    0.000 {max}
        1    0.026    0.026    0.244    0.244 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:179(onTrack)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11313(__init__)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_Panel}
        2    0.000    0.000    0.000    0.000 {wx._core_.Window_GetId}
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp__BootstrapApp}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2420(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6613(_wxPyInitTheBrushList)
     6250    0.184    0.000   10.331    0.002 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:18(CalculateBGDiff)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13271(<lambda>)
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:414(__init__)
        9    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\sparse\base.py:553(isspmatrix)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7445(SetUseBestVisual)
        1    0.000    0.000    0.000    0.000 {wx._core_.new_PyApp}
        1    0.000    0.000    0.000    0.000 {wx._misc_.SystemOptions_SetOptionInt}
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13273(__init__)
       86    0.314    0.004    0.314    0.004 {method 'tostring' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.011    0.006 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:340(make_trckCB)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:456(<lambda>)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Destroy}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11318(Append)
     6252    0.044    0.000   22.575    0.004 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\videoControl_functions.py:28(GetGSFrame)
    29998    0.053    0.000    0.115    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\numeric.py:322(asanyarray)
    29595    0.013    0.000    0.013    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:117(<lambda>)
