Wed Sep 18 14:34:32 2013    larvalMultitrack.profile

         285685 function calls in 25.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1294(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.new_Menu}
        1    0.000    0.000    0.000    0.000 {wx._misc_.StandardPaths_SetInstallPrefix}
        1    0.000    0.000    0.002    0.002 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1729(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7171(__init__)
        2    0.000    0.000    0.000    0.000 {wx._misc_.new_Timer}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4593(IsChecked)
        1    0.000    0.000   25.411   25.411 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7299(MainLoop)
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:499(__init__)
        1    0.000    0.000    0.017    0.017 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:329(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8453(Close)
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:416(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2510(GetFilename)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13271(<lambda>)
        5    0.000    0.000    0.000    0.000 {wx._controls_.Slider_swiginit}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9763(Refresh)
        2    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:11(write)
        1    0.000    0.000    1.201    1.201 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:709(ShowModal)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8023(RestoreStdio)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:62(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_SetSizer}
        1    0.000    0.000    0.019    0.019 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9133(Show)
       37    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12326(<lambda>)
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12686(_setOORInfo)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4015(__call__)
        6    0.000    0.000    0.000    0.000 {wx._controls_.StaticText_swiginit}
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6360(GetPen)
        7    0.000    0.000    0.000    0.000 {wx._controls_.CheckBox_swiginit}
        1    0.000    0.000    0.001    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:381(<lambda>)
        2    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1313(Start)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1844(WriteText)
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_GetFilename}
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6345(GetBrush)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11313(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11318(Append)
       22    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4444(Skip)
        1    0.000    0.000    0.000    0.000 {wx._misc_.StandardPaths_Get}
