Tue Aug 27 17:26:03 2013    2to1larvalMultitrack.profile

         6242457 function calls (6242409 primitive calls) in 576.965 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    1.192    0.199 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:574(write_top)
        1    0.000    0.000    0.000    0.000 {wx._misc_.StandardPaths_Get}
    18750   16.394    0.001   16.394    0.001 {cv2.medianBlur}
    18750    5.167    0.000    5.167    0.000 {cv2.dilate}
        5    0.007    0.001    0.007    0.001 {wx._controls_.new_Slider}
       11    0.000    0.000    0.000    0.000 {wx._core_.Sizer__setOORInfo}
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:1393(<lambda>)
   148518    0.419    0.000    0.419    0.000 {cv2.contourArea}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6334(<lambda>)
        3    0.011    0.004    2.973    0.991 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:202(stopTracking)
    37500    0.065    0.000    0.181    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:360(GetValue)
      932    0.620    0.001    0.629    0.001 {wx._core_.Window_SetLabel}
        9    0.000    0.000    0.000    0.000 {max}
        3    0.036    0.012    0.859    0.286 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:179(onTrack)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11313(__init__)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_Panel}
        2    0.000    0.000    0.000    0.000 {wx._core_.Window_GetId}
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp__BootstrapApp}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6613(_wxPyInitTheBrushList)
    18750    0.582    0.000   33.545    0.002 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:18(CalculateBGDiff)
        2    0.000    0.000   17.828    8.914 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:709(ShowModal)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13271(<lambda>)
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:414(__init__)
       27    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\sparse\base.py:553(isspmatrix)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7445(SetUseBestVisual)
        1    0.000    0.000    0.000    0.000 {wx._core_.new_PyApp}
        1    0.000    0.000    0.000    0.000 {wx._misc_.SystemOptions_SetOptionInt}
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13273(__init__)
      258    0.544    0.002    0.544    0.002 {method 'tostring' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.017    0.009 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:340(make_trckCB)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:456(<lambda>)
        2    0.000    0.000    0.000    0.000 {wx._core_.Window_Destroy}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11318(Append)
       37    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12690(Add)
    18755    0.186    0.000  359.125    0.019 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\videoControl_functions.py:28(GetGSFrame)
